FIPS,danger,bins_num,bins_labels
37063,372,2,Medium Risk
37065,253,2,Medium Risk
37067,430,3,High Risk
37069,296,2,Medium Risk
37071,462,3,High Risk
37073,158,2,Medium Risk
37075,377,2,Medium Risk
37077,260,2,Medium Risk
37079,190,2,Medium Risk
37081,556,3,High Risk
37083,307,2,Medium Risk
37085,356,2,Medium Risk
37087,478,3,High Risk
37089,562,3,High Risk
37091,158,2,Medium Risk
37093,204,2,Medium Risk
37095,147,1,Low Risk
37097,554,3,High Risk
37099,682,3,High Risk
37101,540,3,High Risk
37103,193,2,Medium Risk
37105,224,2,Medium Risk
37107,302,2,Medium Risk
37109,395,2,Medium Risk
37111,493,3,High Risk
37113,425,3,High Risk
37115,550,3,High Risk
37117,192,2,Medium Risk
37119,737,3,High Risk
37121,512,3,High Risk
37123,248,2,Medium Risk
37125,364,2,Medium Risk
37127,327,2,Medium Risk
37129,499,3,High Risk
37131,211,2,Medium Risk
37133,350,2,Medium Risk
37135,340,2,Medium Risk
37137,156,2,Medium Risk
37139,181,2,Medium Risk
37141,349,2,Medium Risk
37143,155,2,Medium Risk
37145,312,2,Medium Risk
37147,400,2,Medium Risk
37149,312,2,Medium Risk
37151,468,3,High Risk
37153,207,2,Medium Risk
37155,507,3,High Risk
37157,628,3,High Risk
37159,501,3,High Risk
37161,490,3,High Risk
37163,367,2,Medium Risk
37165,190,2,Medium Risk
37167,305,2,Medium Risk
37169,429,3,High Risk
37171,588,3,High Risk
37173,412,3,High Risk
37175,441,3,High Risk
37177,103,1,Low Risk
37179,464,3,High Risk
37181,207,2,Medium Risk
37183,892,3,High Risk
37185,203,2,Medium Risk
37187,142,1,Low Risk
37189,488,3,High Risk
37191,345,2,Medium Risk
37193,543,3,High Risk
37195,264,2,Medium Risk
37197,312,2,Medium Risk
37199,501,3,High Risk
38001,314,2,Medium Risk
38003,584,3,High Risk
38005,622,3,High Risk
38007,249,2,Medium Risk
38009,327,2,Medium Risk
38011,337,2,Medium Risk
38013,272,2,Medium Risk
38015,552,3,High Risk
38017,920,3,High Risk
38019,497,3,High Risk
38021,322,2,Medium Risk
38023,227,2,Medium Risk
38025,345,2,Medium Risk
38027,411,3,High Risk
38029,317,2,Medium Risk
38031,263,2,Medium Risk
38033,283,2,Medium Risk
38035,899,3,High Risk
38037,315,2,Medium Risk
38039,404,3,High Risk
38041,313,2,Medium Risk
38043,291,2,Medium Risk
38045,303,2,Medium Risk
38047,246,2,Medium Risk
38049,368,2,Medium Risk
38051,288,2,Medium Risk
38053,379,2,Medium Risk
38055,486,3,High Risk
38057,323,2,Medium Risk
38059,658,3,High Risk
38061,378,2,Medium Risk
38063,523,3,High Risk
38065,248,2,Medium Risk
38067,553,3,High Risk
38069,255,2,Medium Risk
38071,554,3,High Risk
38073,447,3,High Risk
38075,262,2,Medium Risk
38077,686,3,High Risk
38079,239,2,Medium Risk
38081,483,3,High Risk
38083,208,2,Medium Risk
38085,285,2,Medium Risk
38087,245,2,Medium Risk
38089,386,2,Medium Risk
38091,447,3,High Risk
38093,430,3,High Risk
38095,402,2,Medium Risk
38097,484,3,High Risk
38099,749,3,High Risk
38101,499,3,High Risk
38103,293,2,Medium Risk
38105,405,3,High Risk
39001,389,2,Medium Risk
39003,244,2,Medium Risk
39005,384,2,Medium Risk
39007,575,3,High Risk
39009,377,2,Medium Risk
39011,387,2,Medium Risk
39013,356,2,Medium Risk
39015,395,2,Medium Risk
39017,504,3,High Risk
39019,306,2,Medium Risk
39021,289,2,Medium Risk
39023,437,3,High Risk
39025,528,3,High Risk
39027,442,3,High Risk
39029,463,3,High Risk
39031,324,2,Medium Risk
39033,307,2,Medium Risk
39035,768,3,High Risk
39037,420,3,High Risk
39039,208,2,Medium Risk
39041,354,2,Medium Risk
39043,384,2,Medium Risk
39045,409,3,High Risk
39047,298,2,Medium Risk
39049,729,3,High Risk
39051,205,2,Medium Risk
39053,336,2,Medium Risk
39055,466,3,High Risk
39057,465,3,High Risk
39059,293,2,Medium Risk
39061,745,3,High Risk
39063,346,2,Medium Risk
39065,248,2,Medium Risk
39067,234,2,Medium Risk
39069,233,2,Medium Risk
39071,376,2,Medium Risk
39073,300,2,Medium Risk
