FIPS,damage,deaths,injuries,cost,cost_percent_of_median,cost_bins,danger_bins
42111,5144980.0,5.0,18.0,51044980.0,108.07173027047054,3,4
42113,11243300.0,1.0,2.0,20343300.0,43.07055523209654,2,3
42115,130680000.0,3.0,2.0,157780000.0,334.04964801778436,3,3
42117,3592800.0,0.0,12.0,4192800.0,8.87693854866882,1,2
42119,26561800.0,0.0,1.0,26611800.0,56.34213729952893,2,2
42121,58105500.0,8.0,28.0,131505500.0,278.4216376435717,3,2
42123,102298500.0,4.0,10.0,138798500.0,293.862277033822,3,3
42125,28492500.0,1.0,19.0,38442500.0,81.38993277933626,2,3
42127,108858000.0,2.0,3.0,127008000.0,268.8995924416451,3,3
42129,30713250.0,3.0,24.0,58913250.0,124.73032340020114,3,4
42131,155683000.0,2.0,15.0,174433000.0,369.3071507965913,3,3
42133,15031400.0,11.0,12.0,114631400.0,242.69602498279787,3,4
44001,7352000.0,1.0,0.0,16352000.0,34.62022971470915,2,2
44003,31692800.0,1.0,13.0,41342800.0,87.53040808765151,2,2
44005,11392200.0,8.0,0.0,83392200.0,176.55681998623828,3,2
44007,63861400.0,10.0,23.0,155011400.0,328.1880061398402,3,3
44009,44275300.0,7.0,6.0,107575300.0,227.75694701741384,3,2
45001,15002880.0,4.0,2.0,51102880.0,108.19431535489335,3,3
45003,8172730.0,2.0,27.0,27522730.0,58.2707457788599,2,4
45005,39181750.0,1.0,9.0,48631750.0,102.96247287355105,3,4
45007,42362880.0,19.0,18.0,214262880.0,453.63442544857884,3,4
45009,3142000.0,0.0,33.0,4792000.0,10.145556555337956,1,4
45011,659900.0,0.0,5.0,909900.0,1.9264277774837242,0,4
45013,8446900.0,26.0,25.0,243696900.0,515.9517281532842,3,4
45015,14647690.0,16.0,46.0,160947690.0,340.7562377600169,3,5
45017,9092300.0,0.0,4.0,9292300.0,19.673529878791086,2,4
45019,64244850.0,33.0,41.0,363294850.0,769.1628645530091,4,5
45021,25601380.0,1.0,5.0,34851380.0,73.78686285926004,2,3
45023,14884000.0,0.0,1.0,14934000.0,31.618059598793202,2,2
45025,3363120.0,1.0,16.0,13163120.0,27.868776795638595,2,3
45027,14025100.0,6.0,24.0,69225100.0,146.56243052982586,3,4
45029,3913410.0,2.0,12.0,22513410.0,47.66508230561583,2,4
45031,19276000.0,6.0,18.0,74176000.0,157.0444079817922,3,4
