FIPS,Winter,Storm,Flood,Fire,Heat,Drought,Hurricane,pct_Winter,pct_Storm,pct_Flood,pct_Fire,pct_Heat,pct_Drought,pct_Hurricane
1095,79,539,65,0,10,28,4,131.66666666666666,275.0,216.66666666666666,0.0,333.33333333333337,311.11111111111114,400.0
1097,4,447,135,0,0,0,21,6.666666666666667,228.06122448979593,450.0,0.0,0.0,0.0,2100.0
1099,10,145,19,1,3,2,11,16.666666666666664,73.9795918367347,63.33333333333333,100.0,100.0,22.22222222222222,1100.0
1101,44,207,40,0,66,58,8,73.33333333333333,105.61224489795917,133.33333333333331,0.0,2200.0,644.4444444444445,800.0
1103,76,472,90,0,19,28,4,126.66666666666666,240.81632653061226,300.0,0.0,633.3333333333333,311.11111111111114,400.0
1105,14,89,10,0,6,29,8,23.333333333333332,45.40816326530612,33.33333333333333,0.0,200.0,322.22222222222223,800.0
1107,21,160,20,0,6,25,7,35.0,81.63265306122449,66.66666666666666,0.0,200.0,277.77777777777777,700.0
1109,10,93,13,0,4,44,8,16.666666666666664,47.44897959183674,43.333333333333336,0.0,133.33333333333331,488.8888888888889,800.0
1111,22,205,24,0,4,60,6,36.666666666666664,104.59183673469387,80.0,0.0,133.33333333333331,666.6666666666667,600.0
1113,13,159,16,0,4,54,7,21.666666666666668,81.12244897959184,53.333333333333336,0.0,133.33333333333331,600.0,700.0
1115,24,261,27,0,4,32,6,40.0,133.16326530612247,90.0,0.0,133.33333333333331,355.55555555555554,600.0
1117,24,415,52,0,7,38,6,40.0,211.73469387755102,173.33333333333334,0.0,233.33333333333334,422.22222222222223,600.0
1119,17,179,22,0,7,21,8,28.333333333333332,91.3265306122449,73.33333333333333,0.0,233.33333333333334,233.33333333333334,800.0
1121,26,304,34,0,8,43,7,43.333333333333336,155.10204081632654,113.33333333333333,0.0,266.66666666666663,477.77777777777777,700.0
1123,21,232,17,0,6,61,6,35.0,118.36734693877551,56.666666666666664,0.0,200.0,677.7777777777777,600.0
1125,32,485,54,0,22,33,7,53.333333333333336,247.44897959183675,180.0,0.0,733.3333333333333,366.66666666666663,700.0
1127,23,345,31,0,4,32,4,38.333333333333336,176.0204081632653,103.33333333333334,0.0,133.33333333333331,355.55555555555554,400.0
1129,12,169,22,0,2,3,12,20.0,86.22448979591837,73.33333333333333,0.0,66.66666666666666,33.33333333333333,1200.0
