id,time,location,latitude,longitude,depth,magnitude,url
usp000eync,2006-11-23 19:20:10.000,"Hawaii region, Hawaii",19.89,-155.967,37.7,5.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp000eync
usp000ezee,2006-12-03 12:22:21.000,"Hawaii region, Hawaii",19.959,-155.983,14.1,4.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ezee
usp000fcnt,2007-05-24 19:13:44.000,"Hawaii region, Hawaii",19.395,-155.251,2.2,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fcnt
usp000fcnx,2007-05-24 19:33:09.810,"Hawaii region, Hawaii",19.384,-155.238,3.3,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fcnx
usp000fe8v,2007-06-18 04:15:25.470,"Hawaii region, Hawaii",19.387,-155.243,1.3,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fe8v
usp000fjn6,2007-08-14 05:38:06.000,"Hawaii region, Hawaii",19.346,-155.066,9.7,5.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fjn6
usp000fjrv,2007-08-15 12:23:10.090,"Hawaii region, Hawaii",19.332,-155.212,9.7,4.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fjrv
usp000fr9c,2007-10-26 04:57:58.000,"Hawaii region, Hawaii",19.325,-155.119,9.9,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fr9c
usp000fu72,2007-12-10 16:31:18.000,"Maui region, Hawaii",20.012,-156.273,31.7,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fu72
usp000ghd1,2008-09-20 03:59:43.000,"Hawaii region, Hawaii",19.327,-155.106,9.7,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ghd1
usp000gsrc,2009-01-17 12:55:09.000,"Hawaii region, Hawaii",19.291,-155.005,38.2,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gsrc
usp000gut0,2009-03-09 19:44:53.000,"Hawaii region, Hawaii",20.113,-155.167,19.0,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gut0
usp000gw54,2009-04-14 22:44:45.000,"Hawaii region, Hawaii",19.328,-155.21,9.9,5.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gw54
usp000gwfn,2009-04-22 02:58:09.000,"Hawaii region, Hawaii",19.325,-155.11,9.2,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gwfn
usp000h6aq,2010-01-18 23:01:35.000,"Hawaii region, Hawaii",19.233,-155.528,6.0,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/usp000h6aq
usp000h8zu,2010-03-09 04:29:57.000,"Hawaii region, Hawaii",19.846,-155.364,31.1,4.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp000h8zu
usp000hnsk,2010-10-30 01:09:25.200,"Hawaii region, Hawaii",20.145,-155.502,34.6,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp000hnsk
usp000hq17,2010-11-24 04:34:11.420,"Maui region, Hawaii",20.324,-156.469,12.9,4.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp000hq17
usp000hvry,2011-03-11 08:58:25.700,"Hawaii region, Hawaii",19.341,-154.992,9.3,4.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000hvry
