County or equivalent,State or district,Rank,Population
Mifflin County,Pennsylvania,1032,"46,773"
Monroe County,Pennsylvania,368,"1,68,798"
Montgomery County,Pennsylvania,71,"8,08,460"
Montour County,Pennsylvania,1905,"18,356"
Northampton County,Pennsylvania,219,"2,99,267"
Northumberland County,Pennsylvania,615,"94,428"
Perry County,Pennsylvania,1054,"45,701"
Philadelphia County,Pennsylvania,22,"15,47,607"
Pike County,Pennsylvania,893,"56,899"
Potter County,Pennsylvania,1944,"17,577"
Schuylkill County,Pennsylvania,430,"1,47,063"
Snyder County,Pennsylvania,1176,"39,672"
Somerset County,Pennsylvania,709,"76,957"
Sullivan County,Pennsylvania,2727,"6,461"
Susquehanna County,Pennsylvania,1118,"42,696"
Tioga County,Pennsylvania,1121,"42,577"
Union County,Pennsylvania,1070,"44,952"
Venango County,Pennsylvania,921,"54,272"
Warren County,Pennsylvania,1150,"41,146"
Washington County,Pennsylvania,301,"2,08,716"
Wayne County,Pennsylvania,955,"51,955"
Westmoreland County,Pennsylvania,183,"3,63,395"
Wyoming County,Pennsylvania,1488,"28,125"
York County,Pennsylvania,155,"4,37,846"
Bristol County,Rhode Island,998,"49,144"
Kent County,Rhode Island,381,"1,64,843"
Newport County,Rhode Island,674,"82,036"
Providence County,Rhode Island,101,"6,28,323"
Washington County,Rhode Island,488,"1,25,946"
Abbeville County,South Carolina,1604,"25,101"
Aiken County,South Carolina,384,"1,62,812"
Allendale County,South Carolina,2444,"9,988"
Anderson County,South Carolina,335,"1,89,355"
Bamberg County,South Carolina,2059,"15,763"
Barnwell County,South Carolina,1722,"22,212"
Beaufort County,South Carolina,371,"1,68,049"
Berkeley County,South Carolina,334,"1,89,781"
Calhoun County,South Carolina,2116,"14,910"
Charleston County,South Carolina,182,"3,65,162"
Cherokee County,South Carolina,906,"55,662"
Chester County,South Carolina,1374,"32,546"
Chesterfield County,South Carolina,1047,"46,103"
Clarendon County,South Carolina,1317,"34,357"
Colleton County,South Carolina,1214,"38,153"
Darlington County,South Carolina,779,"68,139"
Dillon County,South Carolina,1403,"31,446"
Dorchester County,South Carolina,441,"1,42,496"
Edgefield County,South Carolina,1548,"26,347"
Fairfield County,South Carolina,1671,"23,363"
Florence County,South Carolina,452,"1,37,948"
Georgetown County,South Carolina,861,"60,189"
Greenville County,South Carolina,142,"4,67,605"
Greenwood County,South Carolina,762,"69,756"
Hampton County,South Carolina,1796,"20,726"
Horry County,South Carolina,234,"2,82,285"
Jasper County,South Carolina,1571,"25,833"
Kershaw County,South Carolina,838,"62,343"
Lancaster County,South Carolina,696,"79,089"
Laurens County,South Carolina,794,"66,223"
Lee County,South Carolina,1890,"18,654"
Lexington County,South Carolina,244,"2,70,406"
McCormick County,South Carolina,2447,"9,943"
Marion County,South Carolina,1379,"32,457"
Marlboro County,South Carolina,1487,"28,145"
Newberry County,South Carolina,1229,"37,576"
Oconee County,South Carolina,734,"74,627"
Orangeburg County,South Carolina,631,"91,476"
Pickens County,South Carolina,510,"1,19,670"
Richland County,South Carolina,170,"3,93,830"
Saluda County,South Carolina,1843,"19,893"
Spartanburg County,South Carolina,228,"2,88,745"
Sumter County,South Carolina,548,"1,08,052"
Union County,South Carolina,1480,"28,252"
Williamsburg County,South Carolina,1336,"33,620"
York County,South Carolina,276,"2,34,635"
Aurora County,South Dakota,2994,"2,742"
Beadle County,South Dakota,1930,"17,753"
Bennett County,South Dakota,2945,"3,436"
Bon Homme County,South Dakota,2680,"7,029"
Brookings County,South Dakota,1367,"32,629"
Brown County,South Dakota,1237,"37,331"
Brule County,South Dakota,2819,"5,293"
Buffalo County,South Dakota,3051,"2,020"
Butte County,South Dakota,2423,"10,228"
Campbell County,South Dakota,3089,"1,396"
Charles Mix County,South Dakota,2499,"9,216"
Clark County,South Dakota,2938,"3,585"
Clay County,South Dakota,2167,"14,131"
Codington County,South Dakota,1509,"27,606"
Corson County,South Dakota,2899,"4,077"
Custer County,South Dakota,2578,"8,339"
Davison County,South Dakota,1846,"19,769"
Day County,South Dakota,2795,"5,613"
Deuel County,South Dakota,2875,"4,380"
Dewey County,South Dakota,2801,"5,538"
Douglas County,South Dakota,2982,"2,970"
Edmunds County,South Dakota,2902,"4,026"
Fall River County,South Dakota,2688,"6,971"
Faulk County,South Dakota,3018,"2,377"
Grant County,South Dakota,2656,"7,259"
Gregory County,South Dakota,2885,"4,265"
Haakon County,South Dakota,3062,"1,939"
Hamlin County,South Dakota,2768,"5,918"
Hand County,South Dakota,2948,"3,388"
Hanson County,South Dakota,2949,"3,377"
Harding County,South Dakota,3093,"1,316"
Hughes County,South Dakota,1956,"17,450"
Hutchinson County,South Dakota,2660,"7,187"
Hyde County,South Dakota,3086,"1,437"
Jackson County,South Dakota,2961,"3,191"
Jerauld County,South Dakota,3047,"2,047"
Jones County,South Dakota,3108,"1,013"
Kingsbury County,South Dakota,2825,"5,220"
Lake County,South Dakota,2312,"11,771"
Lawrence County,South Dakota,1630,"24,397"
Lincoln County,South Dakota,1006,"48,296"
Lyman County,South Dakota,2921,"3,789"
McCook County,South Dakota,2797,"5,610"
McPherson County,South Dakota,3011,"2,439"
Marshall County,South Dakota,2859,"4,671"
Meade County,South Dakota,1559,"26,052"
Mellette County,South Dakota,3043,"2,101"
Miner County,South Dakota,3023,"2,326"
Minnehaha County,South Dakota,357,"1,75,037"
Moody County,South Dakota,2729,"6,446"
Pennington County,South Dakota,565,"1,04,347"
Perkins County,South Dakota,2976,"3,037"
Potter County,South Dakota,3021,"2,359"
Roberts County,South Dakota,2414,"10,303"
Sanborn County,South Dakota,3024,"2,324"
Shannon County,South Dakota,2172,"14,059"
Spink County,South Dakota,2714,"6,611"
Stanley County,South Dakota,2983,"2,969"
Sully County,South Dakota,3087,"1,427"
Todd County,South Dakota,2448,"9,942"
Tripp County,South Dakota,2807,"5,485"
Turner County,South Dakota,2582,"8,308"
Union County,South Dakota,2118,"14,855"
Walworth County,South Dakota,2808,"5,459"
Yankton County,South Dakota,1705,"22,603"
Ziebach County,South Dakota,2988,"2,869"
Anderson County,Tennessee,727,"75,416"
Bedford County,Tennessee,1056,"45,573"
Benton County,Tennessee,2021,"16,361"
Bledsoe County,Tennessee,2251,"12,792"
Blount County,Tennessee,493,"1,24,177"
Bradley County,Tennessee,580,"1,01,134"
Campbell County,Tennessee,1168,"40,420"
Cannon County,Tennessee,2186,"13,811"
Carroll County,Tennessee,1475,"28,390"
Carter County,Tennessee,888,"57,355"
Cheatham County,Tennessee,1191,"39,271"
Chester County,Tennessee,1967,"17,171"
Claiborne County,Tennessee,1395,"31,736"
Clay County,Tennessee,2611,"7,840"
Cocke County,Tennessee,1286,"35,571"
Coffee County,Tennessee,935,"53,222"
Crockett County,Tennessee,2130,"14,623"
Cumberland County,Tennessee,890,"57,029"
Davidson County,Tennessee,95,"6,48,295"
Decatur County,Tennessee,2319,"11,673"
DeKalb County,Tennessee,1879,"18,901"
Dickson County,Tennessee,973,"50,381"
Dyer County,Tennessee,1210,"38,255"
Fayette County,Tennessee,1206,"38,659"
Fentress County,Tennessee,1923,"17,940"
Franklin County,Tennessee,1160,"40,772"
Gibson County,Tennessee,990,"49,626"
Giles County,Tennessee,1448,"29,072"
Grainger County,Tennessee,1700,"22,706"
Greene County,Tennessee,771,"68,819"
Grundy County,Tennessee,2202,"13,650"
Hamblen County,Tennessee,833,"62,746"
Hamilton County,Tennessee,191,"3,45,545"
Hancock County,Tennessee,2705,"6,720"
Hardeman County,Tennessee,1545,"26,533"
Hardin County,Tennessee,1566,"25,950"
Hawkins County,Tennessee,896,"56,587"
Haywood County,Tennessee,1909,"18,240"
Henderson County,Tennessee,1493,"28,023"
Henry County,Tennessee,1382,"32,341"
Hickman County,Tennessee,1635,"24,170"
Houston County,Tennessee,2571,"8,413"
Humphreys County,Tennessee,1908,"18,275"
Jackson County,Tennessee,2329,"11,441"
Jefferson County,Tennessee,952,"52,191"
Johnson County,Tennessee,1916,"18,095"
Knox County,Tennessee,152,"4,41,311"
Lake County,Tennessee,2628,"7,690"
Lauderdale County,Tennessee,1503,"27,718"
Lawrence County,Tennessee,1127,"42,086"
Lewis County,Tennessee,2303,"11,896"
Lincoln County,Tennessee,1338,"33,503"
Loudon County,Tennessee,985,"49,793"
McMinn County,Tennessee,948,"52,416"
McNairy County,Tennessee,1556,"26,180"
Macon County,Tennessee,1711,"22,498"
Madison County,Tennessee,594,"98,656"
Marion County,Tennessee,1478,"28,291"
Marshall County,Tennessee,1413,"30,883"
Maury County,Tennessee,675,"81,990"
Meigs County,Tennessee,2317,"11,698"
Monroe County,Tennessee,1064,"45,133"
Montgomery County,Tennessee,343,"1,84,468"
Moore County,Tennessee,2737,"6,339"
Morgan County,Tennessee,1734,"21,931"
Obion County,Tennessee,1407,"31,340"
Overton County,Tennessee,1724,"22,190"
Perry County,Tennessee,2610,"7,860"
Pickett County,Tennessee,2832,"5,100"
Polk County,Tennessee,1998,"16,686"
Putnam County,Tennessee,742,"73,229"
Rhea County,Tennessee,1383,"32,247"
Roane County,Tennessee,930,"53,469"
Robertson County,Tennessee,788,"66,931"
Rutherford County,Tennessee,242,"2,74,454"
Scott County,Tennessee,1725,"22,173"
Sequatchie County,Tennessee,2143,"14,423"
Sevier County,Tennessee,626,"92,512"
Shelby County,Tennessee,50,"9,40,764"
Smith County,Tennessee,1869,"19,102"
Stewart County,Tennessee,2224,"13,297"
Sullivan County,Tennessee,401,"1,56,786"
Sumner County,Tennessee,377,"1,66,123"
Tipton County,Tennessee,843,"61,705"
Trousdale County,Tennessee,2617,"7,795"
Unicoi County,Tennessee,1910,"18,235"
Union County,Tennessee,1868,"19,127"
Van Buren County,Tennessee,2793,"5,628"
Warren County,Tennessee,1174,"39,839"
Washington County,Tennessee,490,"1,25,094"
Wayne County,Tennessee,1982,"16,996"
Weakley County,Tennessee,1305,"34,793"
White County,Tennessee,1558,"26,082"
Williamson County,Tennessee,330,"1,92,911"
Wilson County,Tennessee,511,"1,18,961"
Anderson County,Texas,880,"58,190"
Andrews County,Texas,2038,"16,117"
Angelina County,Texas,650,"87,597"
Aransas County,Texas,1652,"23,818"
Archer County,Texas,2540,"8,735"
Armstrong County,Texas,3061,"1,944"
Atascosa County,Texas,1041,"46,446"
Austin County,Texas,1462,"28,618"
Bailey County,Texas,2670,"7,130"
Bandera County,Texas,1811,"20,537"
Bastrop County,Texas,731,"74,763"
Baylor County,Texas,2933,"3,623"
Bee County,Texas,1376,"32,527"
Bell County,Texas,202,"3,23,037"
Bexar County,Texas,19,"17,85,704"
Blanco County,Texas,2383,"10,655"
Borden County,Texas,3134,616
Bosque County,Texas,1914,"18,125"
Bowie County,Texas,619,"93,148"
Brazoria County,Texas,199,"3,24,769"
Brazos County,Texas,314,"2,00,665"
Brewster County,Texas,2491,"9,316"
Briscoe County,Texas,3080,"1,561"
Brooks County,Texas,2663,"7,161"
Brown County,Texas,1226,"37,825"
Burleson County,Texas,1962,"17,291"
Burnet County,Texas,1100,"43,448"
Caldwell County,Texas,1202,"38,734"
Calhoun County,Texas,1748,"21,609"
Callahan County,Texas,2213,"13,517"
Cameron County,Texas,164,"4,15,557"
Camp County,Texas,2275,"12,449"
Carson County,Texas,2747,"6,157"
Cass County,Texas,1426,"30,166"
Castro County,Texas,2593,"8,164"
Chambers County,Texas,1271,"36,196"
Cherokee County,Texas,967,"51,206"
Childress County,Texas,2680,"7,029"
Clay County,Texas,2394,"10,535"
Cochran County,Texas,2974,"3,046"
Coke County,Texas,2958,"3,231"
Coleman County,Texas,2553,"8,675"
Collin County,Texas,65,"8,34,642"
Collingsworth County,Texas,2977,"3,036"
Colorado County,Texas,1798,"20,696"
Comal County,Texas,528,"1,14,384"
Comanche County,Texas,2192,"13,765"
Concho County,Texas,2903,"4,010"
Cooke County,Texas,1204,"38,688"
Coryell County,Texas,707,"77,231"
Cottle County,Texas,3083,"1,486"
Crane County,Texas,2865,"4,562"
Crockett County,Texas,2927,"3,743"
Crosby County,Texas,2750,"6,126"
Culberson County,Texas,3029,"2,290"
Dallam County,Texas,2685,"6,996"
Dallas County,Texas,9,"24,53,843"
Dawson County,Texas,2203,"13,640"
Deaf Smith County,Texas,1862,"19,360"
Delta County,Texas,2815,"5,329"
Denton County,Texas,85,"7,07,304"
DeWitt County,Texas,1818,"20,465"
Dickens County,Texas,3025,"2,323"
Dimmit County,Texas,2398,"10,461"
Donley County,Texas,2936,"3,598"
Duval County,Texas,2316,"11,717"
Eastland County,Texas,1899,"18,421"
Ector County,Texas,439,"1,44,325"
Edwards County,Texas,3057,"1,968"
Ellis County,Texas,409,"1,53,969"
El Paso County,Texas,66,"8,27,398"
Erath County,Texas,1190,"39,321"
Falls County,Texas,1941,"17,610"
Fannin County,Texas,1332,"33,831"
Fayette County,Texas,1616,"24,695"
Fisher County,Texas,2918,"3,844"
Floyd County,Texas,2734,"6,367"
Foard County,Texas,3095,"1,307"
Fort Bend County,Texas,102,"6,27,293"
Franklin County,Texas,2385,"10,640"
Freestone County,Texas,1856,"19,515"
Frio County,Texas,1934,"17,702"
Gaines County,Texas,1901,"18,413"
Galveston County,Texas,217,"3,00,484"
Garza County,Texas,2731,"6,412"
Gillespie County,Texas,1602,"25,153"
Glasscock County,Texas,3099,"1,259"
Goliad County,Texas,2650,"7,351"
Gonzales County,Texas,1838,"20,045"
Gray County,Texas,1690,"22,978"
Grayson County,Texas,503,"1,21,935"
Gregg County,Texas,498,"1,22,658"
Grimes County,Texas,1536,"26,783"
Guadalupe County,Texas,448,"1,39,841"
Hale County,Texas,1266,"36,385"
Hall County,Texas,2954,"3,293"
Hamilton County,Texas,2583,"8,307"
Hansford County,Texas,2803,"5,521"
Hardeman County,Texas,2896,"4,082"
Hardin County,Texas,910,"55,190"
Harris County,Texas,3,"42,53,700"
Harrison County,Texas,785,"67,450"
Hartley County,Texas,2749,"6,144"
Haskell County,Texas,2774,"5,901"
Hays County,Texas,366,"1,68,990"
Hemphill County,Texas,2898,"4,080"
Henderson County,Texas,695,"79,094"
Hidalgo County,Texas,72,"8,06,552"
Hill County,Texas,1298,"35,115"
Hockley County,Texas,1686,"23,072"
Hood County,Texas,954,"52,044"
Hopkins County,Texas,1289,"35,469"
Houston County,Texas,1682,"23,161"
Howard County,Texas,1291,"35,408"
Hudspeth County,Texas,2953,"3,337"
Hunt County,Texas,652,"87,079"
Hutchinson County,Texas,1735,"21,922"
Irion County,Texas,3079,"1,573"
Jack County,Texas,2523,"8,983"
Jackson County,Texas,2158,"14,255"
Jasper County,Texas,1278,"35,923"
Jeff Davis County,Texas,3028,"2,307"
Jefferson County,Texas,262,"2,51,813"
Jim Hogg County,Texas,2823,"5,249"
Jim Wells County,Texas,1134,"41,754"
Johnson County,Texas,412,"1,53,441"
Jones County,Texas,1842,"19,973"
Karnes County,Texas,2090,"15,233"
Kaufman County,Texas,558,"1,06,753"
Kendall County,Texas,1277,"35,956"
Kenedy County,Texas,3140,431
Kent County,Texas,3116,839
Kerr County,Texas,986,"49,786"
Kimble County,Texas,2866,"4,560"
King County,Texas,3141,276
Kinney County,Texas,2935,"3,603"
Kleberg County,Texas,1390,"32,025"
Knox County,Texas,2921,"3,789"
Lamar County,Texas,983,"49,811"
Lamb County,Texas,2176,"14,008"
Lampasas County,Texas,1834,"20,107"
La Salle County,Texas,2671,"7,109"
Lavaca County,Texas,1858,"19,468"
Lee County,Texas,2002,"16,601"
Leon County,Texas,1995,"16,803"
Liberty County,Texas,716,"76,571"
Limestone County,Texas,1660,"23,585"
Lipscomb County,Texas,2942,"3,480"
Live Oak County,Texas,2320,"11,664"
Llano County,Texas,1870,"19,085"
Loving County,Texas,3143,71
Lubbock County,Texas,230,"2,85,760"
Lynn County,Texas,2781,"5,783"
McCulloch County,Texas,2581,"8,313"
McLennan County,Texas,272,"2,38,707"
McMullen County,Texas,3127,726
Madison County,Texas,2199,"13,677"
Marion County,Texas,2413,"10,324"
Martin County,Texas,2837,"5,017"
Mason County,Texas,2904,"4,003"
Matagorda County,Texas,1260,"36,547"
Maverick County,Texas,908,"55,365"
Medina County,Texas,1033,"46,765"
Menard County,Texas,3033,"2,240"
Midland County,Texas,432,"1,46,645"
Milam County,Texas,1636,"24,157"
Mills County,Texas,2849,"4,828"
Mitchell County,Texas,2488,"9,336"
Montague County,Texas,1855,"19,565"
Montgomery County,Texas,138,"4,85,047"
Moore County,Texas,1718,"22,313"
Morris County,Texas,2252,"12,787"
Motley County,Texas,3100,"1,202"
Nacogdoches County,Texas,798,"66,034"
Navarro County,Texas,1013,"47,979"
Newton County,Texas,2162,"14,200"
Nolan County,Texas,2114,"14,924"
Nueces County,Texas,190,"3,47,691"
Ochiltree County,Texas,2379,"10,728"
Oldham County,Texas,3045,"2,060"
Orange County,Texas,671,"82,977"
Palo Pinto County,Texas,1501,"27,856"
Panola County,Texas,1643,"24,020"
Parker County,Texas,509,"1,19,712"
Parmer County,Texas,2425,"10,183"
Pecos County,Texas,2072,"15,619"
Polk County,Texas,1055,"45,656"
Potter County,Texas,500,"1,22,335"
Presidio County,Texas,2639,"7,525"
Rains County,Texas,2363,"10,943"
Randall County,Texas,491,"1,25,082"
Reagan County,Texas,2943,"3,475"
Real County,Texas,2950,"3,369"
Red River County,Texas,2262,"12,694"
Reeves County,Texas,2188,"13,798"
Refugio County,Texas,2656,"7,259"
Roberts County,Texas,3115,854
Robertson County,Texas,2009,"16,545"
Rockwall County,Texas,670,"83,021"
Runnels County,Texas,2399,"10,449"
Rusk County,Texas,923,"54,026"
Sabine County,Texas,2401,"10,433"
San Augustine County,Texas,2531,"8,818"
San Jacinto County,Texas,1525,"27,126"
San Patricio County,Texas,805,"65,600"
San Saba County,Texas,2759,"6,002"
Schleicher County,Texas,2957,"3,264"
Scurry County,Texas,1968,"17,126"
Shackelford County,Texas,2952,"3,356"
Shelby County,Texas,1563,"26,019"
Sherman County,Texas,2972,"3,073"
Smith County,Texas,293,"2,14,821"
Somervell County,Texas,2556,"8,598"
Starr County,Texas,844,"61,615"
Stephens County,Texas,2475,"9,464"
Sterling County,Texas,3101,"1,191"
Stonewall County,Texas,3084,"1,475"
Sutton County,Texas,2911,"3,950"
Swisher County,Texas,2606,"7,891"
Tarrant County,Texas,15,"18,80,153"
Taylor County,Texas,470,"1,33,473"
Terrell County,Texas,3112,917
Terry County,Texas,2265,"12,613"
Throckmorton County,Texas,3078,"1,601"
Titus County,Texas,1366,"32,663"
Tom Green County,Texas,529,"1,13,281"
Travis County,Texas,37,"10,95,584"
Trinity County,Texas,2152,"14,309"
Tyler County,Texas,1756,"21,458"
Upshur County,Texas,1173,"39,995"
Upton County,Texas,2955,"3,283"
Uvalde County,Texas,1538,"26,752"
Val Verde County,Texas,1002,"48,705"
Van Zandt County,Texas,947,"52,427"
Victoria County,Texas,640,"89,269"
Walker County,Texas,776,"68,408"
Waller County,Texas,1079,"44,357"
Ward County,Texas,2369,"10,879"
Washington County,Texas,1326,"34,093"
Webb County,Texas,255,"2,59,172"
Wharton County,Texas,1145,"41,285"
Wheeler County,Texas,2794,"5,626"
Wichita County,Texas,477,"1,31,559"
Wilbarger County,Texas,2226,"13,258"
Willacy County,Texas,1728,"22,058"
Williamson County,Texas,146,"4,56,232"
Wilson County,Texas,1078,"44,370"
Winkler County,Texas,2652,"7,330"
Wise County,Texas,858,"60,432"
Wood County,Texas,1130,"42,022"
Yoakum County,Texas,2596,"8,075"
Young County,Texas,1906,"18,339"
Zapata County,Texas,2153,"14,290"
Zavala County,Texas,2300,"11,961"
Beaver County,Utah,2724,"6,501"
Box Elder County,Utah,975,"50,171"
Cache County,Utah,523,"1,15,520"
Carbon County,Utah,1772,"21,246"
Daggett County,Utah,3105,"1,090"
Davis County,Utah,207,"3,15,809"
Duchesne County,Utah,1864,"19,244"
Emery County,Utah,2364,"10,933"
Garfield County,Utah,2834,"5,095"
Grand County,Utah,2489,"9,328"
Iron County,Utah,1034,"46,750"
Juab County,Utah,2409,"10,341"
Kane County,Utah,2658,"7,221"
Millard County,Utah,2269,"12,569"
Morgan County,Utah,2454,"9,821"
Piute County,Utah,3081,"1,524"
Rich County,Utah,3030,"2,267"
Salt Lake County,Utah,39,"10,63,842"
San Juan County,Utah,2110,"14,965"
Sanpete County,Utah,1499,"27,906"
Sevier County,Utah,1790,"20,784"
Summit County,Utah,1222,"38,003"
Tooele County,Utah,866,"59,870"
Uintah County,Utah,1311,"34,524"
Utah County,Utah,120,"5,40,504"
Wasatch County,Utah,1600,"25,273"
Washington County,Utah,437,"1,44,809"
Wayne County,Utah,2997,"2,737"
Weber County,Utah,274,"2,36,640"
Addison County,Vermont,1254,"36,745"
Bennington County,Vermont,1256,"36,697"
Caledonia County,Vermont,1409,"31,121"
Chittenden County,Vermont,398,"1,58,504"
Essex County,Vermont,2742,"6,226"
Franklin County,Vermont,1007,"48,214"
Grand Isle County,Vermont,2687,"6,983"
Lamoille County,Vermont,1609,"24,958"
Orange County,Vermont,1453,"28,924"
Orleans County,Vermont,1526,"27,109"
Rutland County,Vermont,849,"60,869"
Washington County,Vermont,869,"59,465"
Windham County,Vermont,1086,"43,985"
Windsor County,Vermont,901,"56,211"
Accomack County,Virginia,1346,"33,341"
Albemarle County,Virginia,572,"1,02,251"
Alleghany County,Virginia,2027,"16,230"
Amelia County,Virginia,2256,"12,759"
Amherst County,Virginia,1380,"32,384"
Appomattox County,Virginia,2097,"15,128"
Arlington County,Virginia,287,"2,21,045"
Augusta County,Virginia,739,"73,658"
Bath County,Virginia,2863,"4,652"
Bedford County,Virginia,764,"69,590"
Bland County,Virginia,2704,"6,738"
Botetourt County,Virginia,1350,"33,154"
Brunswick County,Virginia,1980,"17,010"
Buchanan County,Virginia,1650,"23,859"
Buckingham County,Virginia,1973,"17,088"
Campbell County,Virginia,912,"55,163"
Caroline County,Virginia,1451,"28,972"
Carroll County,Virginia,1430,"29,851"
Charles City County,Virginia,2664,"7,157"
Charlotte County,Virginia,2278,"12,404"
Chesterfield County,Virginia,201,"3,23,856"
Clarke County,Virginia,2147,"14,323"
Craig County,Virginia,2827,"5,213"
Culpeper County,Virginia,1016,"47,911"
Cumberland County,Virginia,2453,"9,849"
Dickenson County,Virginia,2065,"15,690"
Dinwiddie County,Virginia,1494,"27,994"
Essex County,Virginia,2343,"11,233"
Fairfax County,Virginia,36,"11,18,602"
Fauquier County,Virginia,791,"66,542"
Floyd County,Virginia,2080,"15,390"
Fluvanna County,Virginia,1564,"25,967"
Franklin County,Virginia,899,"56,411"
Frederick County,Virginia,687,"80,317"
Giles County,Virginia,1987,"16,928"
Gloucester County,Virginia,1250,"36,886"
Goochland County,Virginia,1764,"21,347"
Grayson County,Virginia,2093,"15,183"
Greene County,Virginia,1885,"18,771"
Greensville County,Virginia,2307,"11,851"
Halifax County,Virginia,1279,"35,849"
Hanover County,Virginia,582,"1,00,668"
Henrico County,Virginia,208,"3,14,932"
Henry County,Virginia,939,"52,969"
Highland County,Virginia,3032,"2,245"
Isle of Wight County,Virginia,1292,"35,399"
James City County,Virginia,770,"68,967"
King and Queen County,Virginia,2677,"7,046"
King George County,Virginia,1620,"24,500"
King William County,Virginia,2049,"15,981"
Lancaster County,Virginia,2342,"11,236"
Lee County,Virginia,1588,"25,474"
Loudoun County,Virginia,193,"3,36,898"
Louisa County,Virginia,1341,"33,430"
Lunenburg County,Virginia,2268,"12,588"
Madison County,Virginia,2231,"13,200"
Mathews County,Virginia,2528,"8,884"
Mecklenburg County,Virginia,1394,"31,749"
Middlesex County,Virginia,2371,"10,822"
Montgomery County,Virginia,609,"95,194"
Nelson County,Virginia,2123,"14,827"
New Kent County,Virginia,1866,"19,169"
Northampton County,Virginia,2289,"12,226"
Northumberland County,Virginia,2284,"12,346"
Nottoway County,Virginia,2055,"15,830"
Orange County,Virginia,1321,"34,246"
Page County,Virginia,1649,"23,895"
Patrick County,Virginia,1898,"18,451"
Pittsylvania County,Virginia,830,"62,807"
Powhatan County,Virginia,1489,"28,123"
Prince Edward County,Virginia,1679,"23,238"
Prince George County,Virginia,1248,"36,941"
Prince William County,Virginia,159,"4,30,289"
Pulaski County,Virginia,1307,"34,736"
Rappahannock County,Virginia,2645,"7,456"
Richmond County,Virginia,2514,"9,059"
Roanoke County,Virginia,622,"92,901"
Rockbridge County,Virginia,1715,"22,394"
Rockingham County,Virginia,706,"77,391"
Russell County,Virginia,1471,"28,445"
Scott County,Virginia,1696,"22,781"
Shenandoah County,Virginia,1120,"42,583"
Smyth County,Virginia,1397,"31,718"
Southampton County,Virginia,1902,"18,409"
Spotsylvania County,Virginia,489,"1,25,684"
Stafford County,Virginia,467,"1,34,352"
Surry County,Virginia,2695,"6,844"
Sussex County,Virginia,2299,"11,972"
Tazewell County,Virginia,1082,"44,268"
Warren County,Virginia,1219,"38,070"
Washington County,Virginia,910,"55,190"
Westmoreland County,Virginia,1949,"17,524"
Wise County,Virginia,1155,"40,918"
Wythe County,Virginia,1442,"29,251"
York County,Virginia,796,"66,146"
"Alexandria, City of",Virginia,434,"1,46,294"
"Bedford, City of",Virginia,2762,"5,964"
"Bristol, City of",Virginia,1936,"17,662"
"Buena Vista, City of",Virginia,2707,"6,707"
"Charlottesville, City of",Virginia,1087,"43,956"
"Chesapeake, City of",Virginia,281,"2,28,417"
"Colonial Heights, City of",Virginia,1953,"17,479"
"Covington, City of",Virginia,2783,"5,771"
"Danville, City of",Virginia,1112,"42,996"
"Emporia, City of",Virginia,2790,"5,740"
"Fairfax, City of",Virginia,1664,"23,461"
"Falls Church, City of",Virginia,2228,"13,229"
"Franklin, City of",Virginia,2562,"8,528"
"Fredericksburg, City of",Virginia,1520,"27,307"
"Galax, City of",Virginia,2693,"6,908"
"Hampton, City of",Virginia,455,"1,36,836"
"Harrisonburg, City of",Virginia,969,"50,981"
"Hopewell, City of",Virginia,1717,"22,348"
"Lexington, City of",Virginia,2684,"6,998"
"Lynchburg, City of",Virginia,708,"77,113"
"Manassas, City of",Virginia,1164,"40,605"
"Manassas Park, City of",Virginia,2058,"15,798"
"Martinsville, City of",Virginia,2196,"13,733"
"Newport News, City of",Virginia,350,"1,80,726"
"Norfolk, City of",Virginia,267,"2,45,782"
"Norton, City of",Virginia,2900,"4,068"
"Petersburg, City of",Virginia,1391,"31,973"
"Poquoson, City of",Virginia,2292,"12,097"
"Portsmouth, City of",Virginia,605,"96,470"
"Radford, City of",Virginia,1999,"16,685"
"Richmond, City of",Virginia,298,"2,10,309"
"Roanoke, City of",Virginia,601,"97,469"
"Salem, City of",Virginia,1608,"24,970"
"Staunton, City of",Virginia,1647,"23,921"
"Suffolk, City of",Virginia,662,"85,181"
"Virginia Beach, City of",Virginia,149,"4,47,021"
"Waynesboro, City of",Virginia,1777,"21,107"
"Williamsburg, City of",Virginia,2095,"15,167"
"Winchester, City of",Virginia,1534,"26,881"
Adams County,Washington,1875,"19,005"
Asotin County,Washington,1738,"21,888"
Benton County,Washington,346,"1,82,398"
Chelan County,Washington,738,"73,687"
Clallam County,Washington,749,"71,863"
Clark County,Washington,153,"4,38,287"
Columbia County,Washington,2905,"3,995"
Cowlitz County,Washington,573,"1,01,996"
Douglas County,Washington,1189,"39,350"
Ferry County,Washington,2627,"7,705"
Franklin County,Washington,657,"85,845"
Garfield County,Washington,3034,"2,228"
Grant County,Washington,629,"91,723"
Grays Harbor County,Washington,750,"71,692"
Island County,Washington,693,"79,177"
Jefferson County,Washington,1428,"29,854"
King County,Washington,13,"20,07,440"
Kitsap County,Washington,259,"2,54,991"
Kittitas County,Washington,1135,"41,672"
Klickitat County,Washington,1797,"20,699"
Lewis County,Washington,723,"75,621"
Lincoln County,Washington,2400,"10,437"
Mason County,Washington,850,"60,832"
Okanogan County,Washington,1146,"41,275"
Pacific County,Washington,1808,"20,575"
